"País de nacimiento Agresor","Suicidio","Convivencia","Denuncia agresor","Tramo de edad Agresor","Tramo de edad Víctima","Comunidad autónoma","Pareja - Expareja","Año","Mes","Número de mujeres víctimas mortales","Número de hijos e hijas menores huérfanos"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","21-30 años","Cataluña","Pareja","Año 2015","Marzo","1.0","2.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","21-30 años","Cataluña","Pareja","Año 2022","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","21-30 años","Comunitat Valenciana","Pareja","Año 2013","Octubre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","21-30 años","Comunitat Valenciana","Pareja","Año 2019","Febrero","1.0","5.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","21-30 años","País Vasco","Pareja","Año 2008","Octubre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Andalucía","Pareja","Año 2014","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Andalucía","Pareja","Año 2016","Noviembre","1.0","3.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Aragón","Pareja","Año 2018","Junio","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Illes Balears","Pareja en fase de separación","Año 2016","Agosto","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Canarias","Pareja","Año 2017","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Castilla y León","Pareja en fase de separación","Año 2016","Octubre","1.0","2.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Castilla-La Mancha","Pareja","Año 2013","Septiembre","1.0","3.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Castilla-La Mancha","Pareja","Año 2016","Enero","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Cataluña","Pareja","Año 2006","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Cataluña","Pareja","Año 2009","Octubre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Comunitat Valenciana","Pareja","Año 2009","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Comunitat Valenciana","Pareja","Año 2014","Agosto","1.0","2.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Comunitat Valenciana","Pareja","Año 2015","Diciembre","1.0","2.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Comunitat Valenciana","Pareja","Año 2018","Septiembre","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Comunitat Valenciana","Pareja","Año 2020","Marzo","1.0","2.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Comunitat Valenciana","Pareja","Año 2021","Diciembre","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","31-40 años","Comunidad de Madrid","Pareja en fase de separación","Año 2013","Marzo","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","41-50 años","Canarias","Pareja","Año 2020","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","41-50 años","Castilla-La Mancha","Pareja","Año 2018","Marzo","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","41-50 años","Cataluña","Pareja","Año 2021","Abril","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","41-50 años","Comunitat Valenciana","Pareja en fase de separación","Año 2016","Julio","1.0","2.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","41-50 años","Galicia","Pareja","Año 2013","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","31-40 años","41-50 años","Comunidad de Madrid","Pareja","Año 2007","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","21-30 años","Andalucía","Pareja","Año 2023","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","21-30 años","Aragón","Pareja","Año 2012","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","21-30 años","Comunidad de Madrid","Pareja","Año 2019","Febrero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","21-30 años","Comunidad de Madrid","Pareja en fase de separación","Año 2018","Agosto","1.0","2.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","21-30 años","País Vasco","Pareja","Año 2013","Mayo","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Andalucía","Pareja","Año 2006","Octubre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Andalucía","Pareja en fase de separación","Año 2011","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Castilla y León","Pareja","Año 2008","Mayo","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Castilla-La Mancha","Pareja","Año 2006","Julio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Castilla-La Mancha","Pareja","Año 2017","Febrero","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Cataluña","Pareja","Año 2007","Abril","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Cataluña","Pareja","Año 2011","Mayo","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Cataluña","Pareja","Año 2021","Julio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Cataluña","Pareja","Año 2023","Enero","1.0","5.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Comunitat Valenciana","Pareja","Año 2009","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Comunidad de Madrid","Pareja","Año 2010","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Comunidad de Madrid","Pareja","Año 2013","Enero","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Comunidad de Madrid","Pareja","Año 2017","Mayo","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Comunidad de Madrid","Pareja en fase de separación","Año 2023","Noviembre","1.0","2.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","31-40 años","Comunidad Foral de Navarra","Pareja","Año 2022","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Andalucía","Pareja","Año 2007","Mayo","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Andalucía","Pareja en fase de separación","Año 2009","Mayo","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Andalucía","Pareja en fase de separación","Año 2015","Mayo","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Andalucía","Pareja en fase de separación","Año 2019","Julio","1.0","2.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Aragón","Pareja en fase de separación","Año 2015","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Castilla-La Mancha","Pareja","Año 2020","Diciembre","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Castilla-La Mancha","Pareja","Año 2022","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Cataluña","Pareja","Año 2011","Noviembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Cataluña","Pareja","Año 2016","Diciembre","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Cataluña","Pareja","Año 2019","Julio","1.0","2.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Cataluña","Pareja","Año 2019","Diciembre","1.0","3.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Cataluña","Pareja","Año 2020","Enero","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Cataluña","Pareja","Año 2021","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Cataluña","Pareja","Año 2023","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Cataluña","Pareja en fase de separación","Año 2015","Junio","1.0","2.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Cataluña","Pareja en fase de separación","Año 2015","Agosto","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Cataluña","Pareja en fase de separación","Año 2022","Abril","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Comunitat Valenciana","Pareja","Año 2008","Febrero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Comunitat Valenciana","Pareja","Año 2014","Octubre","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Comunitat Valenciana","Pareja en fase de separación","Año 2015","Julio","1.0","2.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Galicia","Pareja","Año 2007","Febrero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Galicia","Pareja","Año 2008","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Galicia","Pareja","Año 2020","Febrero","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Galicia","Pareja en fase de separación","Año 2010","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Comunidad de Madrid","Pareja","Año 2015","Mayo","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Comunidad de Madrid","Pareja","Año 2019","Agosto","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Comunidad de Madrid","Pareja en fase de separación","Año 2008","Febrero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Comunidad Foral de Navarra","Pareja","Año 2017","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Comunidad Foral de Navarra","Pareja en fase de separación","Año 2021","Julio","1.0","2.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","País Vasco","Pareja en fase de separación","Año 2017","Octubre","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","41-50 años","Ceuta","Pareja","Año 2022","Marzo","1.0","2.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","51-60 años","Andalucía","Pareja","Año 2017","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","51-60 años","Canarias","Pareja","Año 2011","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","51-60 años","Comunitat Valenciana","Pareja","Año 2022","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","51-60 años","Galicia","Pareja en fase de separación","Año 2021","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","51-60 años","Comunidad de Madrid","Pareja","Año 2011","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","41-50 años","61-70 años","Canarias","Pareja","Año 2020","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","21-30 años","Aragón","Pareja","Año 2011","Noviembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","21-30 años","Comunitat Valenciana","Pareja","Año 2011","Julio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","21-30 años","Comunitat Valenciana","Pareja","Año 2012","Mayo","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","31-40 años","Andalucía","Pareja","Año 2021","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","31-40 años","Cataluña","Pareja","Año 2016","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","31-40 años","Comunidad de Madrid","Pareja en fase de separación","Año 2023","Mayo","1.0","1.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","31-40 años","Región de Murcia","Pareja","Año 2011","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","41-50 años","Andalucía","Pareja","Año 2010","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","41-50 años","Illes Balears","Pareja","Año 2010","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","41-50 años","Cataluña","Pareja","Año 2018","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","41-50 años","Cataluña","Pareja en fase de separación","Año 2008","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","41-50 años","Comunitat Valenciana","Pareja","Año 2007","Julio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","41-50 años","Comunitat Valenciana","Pareja","Año 2011","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","41-50 años","Comunitat Valenciana","Pareja","Año 2021","Abril","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","41-50 años","Galicia","Pareja","Año 2014","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","41-50 años","Galicia","Pareja en fase de separación","Año 2018","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Andalucía","Pareja","Año 2009","Julio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Andalucía","Pareja","Año 2013","Mayo","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Andalucía","Pareja en fase de separación","Año 2011","Marzo","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Andalucía","Pareja en fase de separación","Año 2014","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Aragón","Pareja","Año 2007","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Principado de Asturias","Pareja","Año 2010","Febrero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Principado de Asturias","Pareja","Año 2010","Abril","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Illes Balears","Pareja","Año 2019","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Canarias","Pareja","Año 2016","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Cantabria","Pareja","Año 2019","Julio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Castilla y León","Pareja en fase de separación","Año 2007","Octubre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Cataluña","Pareja","Año 2012","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Cataluña","Pareja","Año 2018","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Cataluña","Pareja en fase de separación","Año 2007","Febrero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Galicia","Pareja","Año 2018","Julio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Comunidad de Madrid","Pareja","Año 2008","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Región de Murcia","Pareja","Año 2018","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","Región de Murcia","Pareja en fase de separación","Año 2008","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","País Vasco","Pareja","Año 2014","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","51-60 años","La Rioja","Pareja","Año 2020","Octubre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","61-70 años","Principado de Asturias","Pareja","Año 2015","Noviembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","61-70 años","Galicia","Pareja","Año 2015","Octubre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","51-60 años","61-70 años","Región de Murcia","Pareja en fase de separación","Año 2010","Mayo","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","41-50 años","Cataluña","Pareja","Año 2014","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","51-60 años","Andalucía","Pareja","Año 2007","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","51-60 años","Andalucía","Pareja","Año 2018","Febrero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","51-60 años","Aragón","Pareja","Año 2007","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","51-60 años","Principado de Asturias","Pareja","Año 2011","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","51-60 años","Galicia","Pareja","Año 2008","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","51-60 años","Región de Murcia","Pareja en fase de separación","Año 2006","Marzo","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","61-70 años","Andalucía","Pareja","Año 2011","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","61-70 años","Andalucía","Pareja","Año 2015","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","61-70 años","Andalucía","Pareja","Año 2019","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","61-70 años","Aragón","Pareja","Año 2016","Mayo","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","61-70 años","Principado de Asturias","Pareja en fase de separación","Año 2007","Febrero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","61-70 años","Canarias","Pareja","Año 2007","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","61-70 años","Castilla-La Mancha","Pareja","Año 2006","Marzo","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","61-70 años","Cataluña","Pareja","Año 2012","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","61-70 años","Galicia","Pareja","Año 2007","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","61-70 años","Comunidad de Madrid","Pareja","Año 2013","Marzo","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","61-70 años","Comunidad de Madrid","Pareja","Año 2018","Octubre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","61-70 años","Comunidad de Madrid","Pareja en fase de separación","Año 2008","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","61-70 años","Región de Murcia","Expareja","Año 2020","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años","71-84 años","Cataluña","Pareja","Año 2007","Julio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","61-70 años",">=85 años","Cataluña","Pareja","Año 2022","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","51-60 años","Cataluña","Pareja","Año 2022","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","51-60 años","Comunidad Foral de Navarra","Pareja","Año 2008","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","61-70 años","Andalucía","Pareja","Año 2012","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","61-70 años","Andalucía","Pareja en fase de separación","Año 2023","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","61-70 años","Castilla-La Mancha","Pareja","Año 2010","Julio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","61-70 años","Cataluña","Pareja","Año 2012","Octubre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","71-84 años","Andalucía","Pareja","Año 2008","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","71-84 años","Andalucía","Pareja","Año 2009","Abril","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","71-84 años","Andalucía","Pareja","Año 2013","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","71-84 años","Andalucía","Pareja","Año 2020","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","71-84 años","Castilla-La Mancha","Pareja","Año 2020","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","71-84 años","Cataluña","Pareja","Año 2014","Febrero","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","71-84 años","Cataluña","Pareja","Año 2023","Septiembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","71-84 años","Galicia","Pareja","Año 2009","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","71-84 años","Galicia","Pareja","Año 2015","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","71-84 años","Comunidad de Madrid","Pareja","Año 2021","Junio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia","71-84 años","71-84 años","Comunidad de Madrid","Pareja","Año 2021","Julio","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia",">=85 años","61-70 años","Canarias","Pareja en fase de separación","Año 2006","Abril","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia",">=85 años","71-84 años","Comunitat Valenciana","Pareja","Año 2009","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia",">=85 años",">=85 años","Andalucía","Pareja","Año 2019","Noviembre","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia",">=85 años",">=85 años","Canarias","Pareja","Año 2023","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","No había denuncia",">=85 años",">=85 años","Castilla y León","Pareja","Año 2019","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","Había denuncia","21-30 años","21-30 años","Castilla-La Mancha","Pareja","Año 2006","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","Había denuncia","21-30 años","31-40 años","Cataluña","Pareja","Año 2006","Diciembre","1.0","0.0"
"España","No hubo tentativa","Sí","Había denuncia","21-30 años","31-40 años","Región de Murcia","Pareja en fase de separación","Año 2007","Julio","1.0","0.0"
"España","No hubo tentativa","Sí","Había denuncia","31-40 años","21-30 años","Principado de Asturias","Pareja en fase de separación","Año 2006","Marzo","1.0","0.0"
"España","No hubo tentativa","Sí","Había denuncia","31-40 años","21-30 años","Castilla-La Mancha","Pareja","Año 2007","Julio","1.0","0.0"
"España","No hubo tentativa","Sí","Había denuncia","31-40 años","31-40 años","Andalucía","Pareja en fase de separación","Año 2022","Marzo","1.0","2.0"
"España","No hubo tentativa","Sí","Había denuncia","31-40 años","31-40 años","Canarias","Pareja","Año 2010","Noviembre","1.0","0.0"
"España","No hubo tentativa","Sí","Había denuncia","31-40 años","31-40 años","Cataluña","Pareja","Año 2006","Marzo","1.0","0.0"
"España","No hubo tentativa","Sí","Había denuncia","31-40 años","31-40 años","Comunitat Valenciana","Pareja","Año 2006","Marzo","1.0","0.0"
"España","No hubo tentativa","Sí","Había denuncia","31-40 años","31-40 años","Comunidad de Madrid","Pareja","Año 2014","Noviembre","1.0","0.0"
"España","No hubo tentativa","Sí","Había denuncia","31-40 años","31-40 años","Comunidad de Madrid","Pareja en fase de separación","Año 2015","Noviembre","1.0","0.0"
"España","No hubo tentativa","Sí","Había denuncia","31-40 años","31-40 años","País Vasco","Pareja","Año 2006","Enero","1.0","0.0"
"España","No hubo tentativa","Sí","Había denuncia","31-40 años","41-50 años","Cataluña","Pareja","Año 2010","Agosto","1.0","0.0"
"España","No hubo tentativa","Sí","Había denuncia","41-50 años","21-30 años","Canarias","Pareja","Año 2019","Enero","1.0","2.0"
