,pais_nac_agresor,suicidio,convivencia,edad_agresor,edad_victima,comunidad_autonoma,estado,año,mes,n_victimas_mortales,hijos_huerfanos
91,España,No hubo tentativa,Sí,41-50 años,41-50 años,Comunidad de Madrid,Pareja,2019,Agosto,1.0,1.0
92,España,No hubo tentativa,Sí,41-50 años,41-50 años,Comunidad de Madrid,Pareja en fase de separación,2008,Febrero,1.0,0.0
93,España,No hubo tentativa,Sí,41-50 años,41-50 años,Comunidad Foral de Navarra,Pareja,2017,Enero,1.0,0.0
94,España,No hubo tentativa,Sí,41-50 años,41-50 años,Comunidad Foral de Navarra,Pareja en fase de separación,2021,Julio,1.0,2.0
95,España,No hubo tentativa,Sí,41-50 años,41-50 años,País Vasco,Pareja en fase de separación,2017,Octubre,1.0,1.0
96,España,No hubo tentativa,Sí,41-50 años,41-50 años,Ceuta,Pareja,2022,Marzo,1.0,2.0
97,España,No hubo tentativa,Sí,41-50 años,51-60 años,Andalucía,Pareja,2017,Junio,1.0,0.0
98,España,No hubo tentativa,Sí,41-50 años,51-60 años,Canarias,Pareja,2011,Enero,1.0,0.0
99,España,No hubo tentativa,Sí,41-50 años,51-60 años,Comunitat Valenciana,Pareja,2022,Junio,1.0,0.0
100,España,No hubo tentativa,Sí,41-50 años,51-60 años,Galicia,Pareja en fase de separación,2021,Septiembre,1.0,0.0
101,España,No hubo tentativa,Sí,41-50 años,51-60 años,Comunidad de Madrid,Pareja,2011,Enero,1.0,0.0
102,España,No hubo tentativa,Sí,41-50 años,61-70 años,Canarias,Pareja,2020,Diciembre,1.0,0.0
103,España,No hubo tentativa,Sí,51-60 años,21-30 años,Aragón,Pareja,2011,Noviembre,1.0,0.0
104,España,No hubo tentativa,Sí,51-60 años,21-30 años,Comunitat Valenciana,Pareja,2011,Julio,1.0,0.0
105,España,No hubo tentativa,Sí,51-60 años,21-30 años,Comunitat Valenciana,Pareja,2012,Mayo,1.0,0.0
106,España,No hubo tentativa,Sí,51-60 años,31-40 años,Andalucía,Pareja,2021,Agosto,1.0,0.0
107,España,No hubo tentativa,Sí,51-60 años,31-40 años,Cataluña,Pareja,2016,Junio,1.0,0.0
108,España,No hubo tentativa,Sí,51-60 años,31-40 años,Comunidad de Madrid,Pareja en fase de separación,2023,Mayo,1.0,1.0
109,España,No hubo tentativa,Sí,51-60 años,31-40 años,Región de Murcia,Pareja,2011,Enero,1.0,0.0
110,España,No hubo tentativa,Sí,51-60 años,41-50 años,Andalucía,Pareja,2010,Enero,1.0,0.0
111,España,No hubo tentativa,Sí,51-60 años,41-50 años,Illes Balears,Pareja,2010,Enero,1.0,0.0
112,España,No hubo tentativa,Sí,51-60 años,41-50 años,Cataluña,Pareja,2018,Agosto,1.0,0.0
113,España,No hubo tentativa,Sí,51-60 años,41-50 años,Cataluña,Pareja en fase de separación,2008,Diciembre,1.0,0.0
114,España,No hubo tentativa,Sí,51-60 años,41-50 años,Comunitat Valenciana,Pareja,2007,Julio,1.0,0.0
115,España,No hubo tentativa,Sí,51-60 años,41-50 años,Comunitat Valenciana,Pareja,2011,Septiembre,1.0,0.0
116,España,No hubo tentativa,Sí,51-60 años,41-50 años,Comunitat Valenciana,Pareja,2021,Abril,1.0,0.0
117,España,No hubo tentativa,Sí,51-60 años,41-50 años,Galicia,Pareja,2014,Enero,1.0,0.0
118,España,No hubo tentativa,Sí,51-60 años,41-50 años,Galicia,Pareja en fase de separación,2018,Agosto,1.0,0.0
119,España,No hubo tentativa,Sí,51-60 años,51-60 años,Andalucía,Pareja,2009,Julio,1.0,0.0
120,España,No hubo tentativa,Sí,51-60 años,51-60 años,Andalucía,Pareja,2013,Mayo,1.0,0.0
121,España,No hubo tentativa,Sí,51-60 años,51-60 años,Andalucía,Pareja en fase de separación,2011,Marzo,1.0,0.0
122,España,No hubo tentativa,Sí,51-60 años,51-60 años,Andalucía,Pareja en fase de separación,2014,Junio,1.0,0.0
123,España,No hubo tentativa,Sí,51-60 años,51-60 años,Aragón,Pareja,2007,Septiembre,1.0,0.0
124,España,No hubo tentativa,Sí,51-60 años,51-60 años,Principado de Asturias,Pareja,2010,Febrero,1.0,0.0
125,España,No hubo tentativa,Sí,51-60 años,51-60 años,Principado de Asturias,Pareja,2010,Abril,1.0,0.0
126,España,No hubo tentativa,Sí,51-60 años,51-60 años,Illes Balears,Pareja,2019,Septiembre,1.0,0.0
127,España,No hubo tentativa,Sí,51-60 años,51-60 años,Canarias,Pareja,2016,Agosto,1.0,0.0
128,España,No hubo tentativa,Sí,51-60 años,51-60 años,Cantabria,Pareja,2019,Julio,1.0,0.0
129,España,No hubo tentativa,Sí,51-60 años,51-60 años,Castilla y León,Pareja en fase de separación,2007,Octubre,1.0,0.0
130,España,No hubo tentativa,Sí,51-60 años,51-60 años,Cataluña,Pareja,2012,Enero,1.0,0.0
131,España,No hubo tentativa,Sí,51-60 años,51-60 años,Cataluña,Pareja,2018,Diciembre,1.0,0.0
132,España,No hubo tentativa,Sí,51-60 años,51-60 años,Cataluña,Pareja en fase de separación,2007,Febrero,1.0,0.0
133,España,No hubo tentativa,Sí,51-60 años,51-60 años,Galicia,Pareja,2018,Julio,1.0,0.0
134,España,No hubo tentativa,Sí,51-60 años,51-60 años,Comunidad de Madrid,Pareja,2008,Agosto,1.0,0.0
135,España,No hubo tentativa,Sí,51-60 años,51-60 años,Región de Murcia,Pareja,2018,Diciembre,1.0,0.0
136,España,No hubo tentativa,Sí,51-60 años,51-60 años,Región de Murcia,Pareja en fase de separación,2008,Enero,1.0,0.0
137,España,No hubo tentativa,Sí,51-60 años,51-60 años,País Vasco,Pareja,2014,Diciembre,1.0,0.0
138,España,No hubo tentativa,Sí,51-60 años,51-60 años,La Rioja,Pareja,2020,Octubre,1.0,0.0
139,España,No hubo tentativa,Sí,51-60 años,61-70 años,Principado de Asturias,Pareja,2015,Noviembre,1.0,0.0
140,España,No hubo tentativa,Sí,51-60 años,61-70 años,Galicia,Pareja,2015,Octubre,1.0,0.0
141,España,No hubo tentativa,Sí,51-60 años,61-70 años,Región de Murcia,Pareja en fase de separación,2010,Mayo,1.0,0.0
142,España,No hubo tentativa,Sí,61-70 años,41-50 años,Cataluña,Pareja,2014,Agosto,1.0,0.0
143,España,No hubo tentativa,Sí,61-70 años,51-60 años,Andalucía,Pareja,2007,Agosto,1.0,0.0
144,España,No hubo tentativa,Sí,61-70 años,51-60 años,Andalucía,Pareja,2018,Febrero,1.0,0.0
145,España,No hubo tentativa,Sí,61-70 años,51-60 años,Aragón,Pareja,2007,Septiembre,1.0,0.0
146,España,No hubo tentativa,Sí,61-70 años,51-60 años,Principado de Asturias,Pareja,2011,Junio,1.0,0.0
147,España,No hubo tentativa,Sí,61-70 años,51-60 años,Galicia,Pareja,2008,Enero,1.0,0.0
148,España,No hubo tentativa,Sí,61-70 años,51-60 años,Región de Murcia,Pareja en fase de separación,2006,Marzo,1.0,0.0
149,España,No hubo tentativa,Sí,61-70 años,61-70 años,Andalucía,Pareja,2011,Septiembre,1.0,0.0
150,España,No hubo tentativa,Sí,61-70 años,61-70 años,Andalucía,Pareja,2015,Agosto,1.0,0.0
151,España,No hubo tentativa,Sí,61-70 años,61-70 años,Andalucía,Pareja,2019,Enero,1.0,0.0
152,España,No hubo tentativa,Sí,61-70 años,61-70 años,Aragón,Pareja,2016,Mayo,1.0,0.0
153,España,No hubo tentativa,Sí,61-70 años,61-70 años,Principado de Asturias,Pareja en fase de separación,2007,Febrero,1.0,0.0
154,España,No hubo tentativa,Sí,61-70 años,61-70 años,Canarias,Pareja,2007,Junio,1.0,0.0
155,España,No hubo tentativa,Sí,61-70 años,61-70 años,Castilla-La Mancha,Pareja,2006,Marzo,1.0,0.0
156,España,No hubo tentativa,Sí,61-70 años,61-70 años,Cataluña,Pareja,2012,Junio,1.0,0.0
157,España,No hubo tentativa,Sí,61-70 años,61-70 años,Galicia,Pareja,2007,Junio,1.0,0.0
158,España,No hubo tentativa,Sí,61-70 años,61-70 años,Comunidad de Madrid,Pareja,2013,Marzo,1.0,0.0
159,España,No hubo tentativa,Sí,61-70 años,61-70 años,Comunidad de Madrid,Pareja,2018,Octubre,1.0,0.0
160,España,No hubo tentativa,Sí,61-70 años,61-70 años,Comunidad de Madrid,Pareja en fase de separación,2008,Septiembre,1.0,0.0
161,España,No hubo tentativa,Sí,61-70 años,61-70 años,Región de Murcia,Expareja,2020,Agosto,1.0,0.0
162,España,No hubo tentativa,Sí,61-70 años,71-84 años,Cataluña,Pareja,2007,Julio,1.0,0.0
163,España,No hubo tentativa,Sí,61-70 años,>=85 años,Cataluña,Pareja,2022,Diciembre,1.0,0.0
164,España,No hubo tentativa,Sí,71-84 años,51-60 años,Cataluña,Pareja,2022,Septiembre,1.0,0.0
165,España,No hubo tentativa,Sí,71-84 años,51-60 años,Comunidad Foral de Navarra,Pareja,2008,Agosto,1.0,0.0
166,España,No hubo tentativa,Sí,71-84 años,61-70 años,Andalucía,Pareja,2012,Junio,1.0,0.0
167,España,No hubo tentativa,Sí,71-84 años,61-70 años,Andalucía,Pareja en fase de separación,2023,Agosto,1.0,0.0
168,España,No hubo tentativa,Sí,71-84 años,61-70 años,Castilla-La Mancha,Pareja,2010,Julio,1.0,0.0
169,España,No hubo tentativa,Sí,71-84 años,61-70 años,Cataluña,Pareja,2012,Octubre,1.0,0.0
170,España,No hubo tentativa,Sí,71-84 años,71-84 años,Andalucía,Pareja,2008,Junio,1.0,0.0
171,España,No hubo tentativa,Sí,71-84 años,71-84 años,Andalucía,Pareja,2009,Abril,1.0,0.0
172,España,No hubo tentativa,Sí,71-84 años,71-84 años,Andalucía,Pareja,2013,Junio,1.0,0.0
173,España,No hubo tentativa,Sí,71-84 años,71-84 años,Andalucía,Pareja,2020,Enero,1.0,0.0
174,España,No hubo tentativa,Sí,71-84 años,71-84 años,Castilla-La Mancha,Pareja,2020,Agosto,1.0,0.0
175,España,No hubo tentativa,Sí,71-84 años,71-84 años,Cataluña,Pareja,2014,Febrero,1.0,0.0
176,España,No hubo tentativa,Sí,71-84 años,71-84 años,Cataluña,Pareja,2023,Septiembre,1.0,0.0
177,España,No hubo tentativa,Sí,71-84 años,71-84 años,Galicia,Pareja,2009,Agosto,1.0,0.0
178,España,No hubo tentativa,Sí,71-84 años,71-84 años,Galicia,Pareja,2015,Diciembre,1.0,0.0
179,España,No hubo tentativa,Sí,71-84 años,71-84 años,Comunidad de Madrid,Pareja,2021,Junio,1.0,0.0
180,España,No hubo tentativa,Sí,71-84 años,71-84 años,Comunidad de Madrid,Pareja,2021,Julio,1.0,0.0
181,España,No hubo tentativa,Sí,>=85 años,61-70 años,Canarias,Pareja en fase de separación,2006,Abril,1.0,0.0
182,España,No hubo tentativa,Sí,>=85 años,71-84 años,Comunitat Valenciana,Pareja,2009,Diciembre,1.0,0.0
183,España,No hubo tentativa,Sí,>=85 años,>=85 años,Andalucía,Pareja,2019,Noviembre,1.0,0.0
184,España,No hubo tentativa,Sí,>=85 años,>=85 años,Canarias,Pareja,2023,Agosto,1.0,0.0
185,España,No hubo tentativa,Sí,>=85 años,>=85 años,Castilla y León,Pareja,2019,Enero,1.0,0.0
186,España,No hubo tentativa,Sí,21-30 años,21-30 años,Castilla-La Mancha,Pareja,2006,Agosto,1.0,0.0
187,España,No hubo tentativa,Sí,21-30 años,31-40 años,Cataluña,Pareja,2006,Diciembre,1.0,0.0
188,España,No hubo tentativa,Sí,21-30 años,31-40 años,Región de Murcia,Pareja en fase de separación,2007,Julio,1.0,0.0
189,España,No hubo tentativa,Sí,31-40 años,21-30 años,Principado de Asturias,Pareja en fase de separación,2006,Marzo,1.0,0.0
190,España,No hubo tentativa,Sí,31-40 años,21-30 años,Castilla-La Mancha,Pareja,2007,Julio,1.0,0.0
191,España,No hubo tentativa,Sí,31-40 años,31-40 años,Andalucía,Pareja en fase de separación,2022,Marzo,1.0,2.0
192,España,No hubo tentativa,Sí,31-40 años,31-40 años,Canarias,Pareja,2010,Noviembre,1.0,0.0
193,España,No hubo tentativa,Sí,31-40 años,31-40 años,Cataluña,Pareja,2006,Marzo,1.0,0.0
194,España,No hubo tentativa,Sí,31-40 años,31-40 años,Comunitat Valenciana,Pareja,2006,Marzo,1.0,0.0
195,España,No hubo tentativa,Sí,31-40 años,31-40 años,Comunidad de Madrid,Pareja,2014,Noviembre,1.0,0.0
196,España,No hubo tentativa,Sí,31-40 años,31-40 años,Comunidad de Madrid,Pareja en fase de separación,2015,Noviembre,1.0,0.0
197,España,No hubo tentativa,Sí,31-40 años,31-40 años,País Vasco,Pareja,2006,Enero,1.0,0.0
198,España,No hubo tentativa,Sí,31-40 años,41-50 años,Cataluña,Pareja,2010,Agosto,1.0,0.0
199,España,No hubo tentativa,Sí,41-50 años,21-30 años,Canarias,Pareja,2019,Enero,1.0,2.0
200,España,No hubo tentativa,Sí,41-50 años,31-40 años,Andalucía,Pareja,2006,Enero,1.0,0.0
201,España,No hubo tentativa,Sí,41-50 años,31-40 años,Andalucía,Pareja,2010,Noviembre,1.0,0.0
202,España,No hubo tentativa,Sí,41-50 años,31-40 años,Principado de Asturias,Pareja,2016,Marzo,1.0,0.0
203,España,No hubo tentativa,Sí,41-50 años,31-40 años,Cataluña,Pareja,2010,Febrero,1.0,0.0
204,España,No hubo tentativa,Sí,41-50 años,31-40 años,Comunitat Valenciana,Pareja,2013,Marzo,1.0,1.0
205,España,No hubo tentativa,Sí,41-50 años,31-40 años,Comunidad de Madrid,Pareja,2023,Junio,1.0,1.0
206,España,No hubo tentativa,Sí,41-50 años,31-40 años,País Vasco,Pareja,2007,Junio,1.0,0.0
207,España,No hubo tentativa,Sí,41-50 años,31-40 años,País Vasco,Pareja,2010,Julio,1.0,0.0
208,España,No hubo tentativa,Sí,41-50 años,41-50 años,Andalucía,Pareja,2018,Septiembre,1.0,2.0
209,España,No hubo tentativa,Sí,41-50 años,41-50 años,Andalucía,Pareja,2020,Agosto,1.0,0.0
210,España,No hubo tentativa,Sí,41-50 años,41-50 años,Andalucía,Pareja en fase de separación,2006,Diciembre,1.0,0.0
211,España,No hubo tentativa,Sí,41-50 años,41-50 años,Canarias,Pareja,2010,Junio,1.0,0.0
212,España,No hubo tentativa,Sí,41-50 años,41-50 años,Castilla-La Mancha,Pareja,2023,Septiembre,1.0,2.0
213,España,No hubo tentativa,Sí,41-50 años,41-50 años,Cataluña,Pareja,2014,Enero,1.0,0.0
214,España,No hubo tentativa,Sí,41-50 años,41-50 años,Cataluña,Pareja,2014,Febrero,1.0,0.0
215,España,No hubo tentativa,Sí,41-50 años,41-50 años,Comunitat Valenciana,Pareja,2008,Marzo,1.0,0.0
216,España,No hubo tentativa,Sí,41-50 años,41-50 años,Comunitat Valenciana,Pareja,2009,Marzo,1.0,0.0
217,España,No hubo tentativa,Sí,41-50 años,41-50 años,Comunidad de Madrid,Expareja,2011,Mayo,1.0,0.0
218,España,No hubo tentativa,Sí,41-50 años,41-50 años,País Vasco,Pareja,2009,Marzo,1.0,0.0
219,España,No hubo tentativa,Sí,41-50 años,51-60 años,País Vasco,Pareja,2016,Julio,1.0,0.0
220,España,No hubo tentativa,Sí,51-60 años,31-40 años,Castilla-La Mancha,Expareja,2021,Mayo,1.0,0.0
221,España,No hubo tentativa,Sí,51-60 años,31-40 años,Castilla-La Mancha,Pareja en fase de separación,2022,Diciembre,1.0,2.0
222,España,No hubo tentativa,Sí,51-60 años,31-40 años,Comunidad de Madrid,Pareja,2011,Julio,1.0,0.0
223,España,No hubo tentativa,Sí,51-60 años,41-50 años,Andalucía,Pareja,2015,Junio,1.0,0.0
224,España,No hubo tentativa,Sí,51-60 años,41-50 años,Andalucía,Pareja,2018,Septiembre,1.0,3.0
225,España,No hubo tentativa,Sí,51-60 años,51-60 años,Illes Balears,Pareja,2012,Junio,1.0,0.0
226,España,No hubo tentativa,Sí,51-60 años,51-60 años,Illes Balears,Pareja,2020,Julio,1.0,0.0
227,España,No hubo tentativa,Sí,51-60 años,51-60 años,Cataluña,Pareja,2020,Mayo,1.0,0.0
228,España,No hubo tentativa,Sí,61-70 años,41-50 años,Canarias,Pareja en fase de separación,2018,Enero,1.0,0.0
229,España,No hubo tentativa,Sí,61-70 años,51-60 años,Andalucía,Pareja,2023,Julio,1.0,0.0
230,España,No hubo tentativa,Sí,61-70 años,51-60 años,Canarias,Pareja,2016,Mayo,1.0,2.0
231,España,No hubo tentativa,Sí,61-70 años,51-60 años,Comunitat Valenciana,Pareja,2020,Diciembre,1.0,0.0
232,España,No hubo tentativa,Sí,61-70 años,51-60 años,Comunidad de Madrid,Pareja,2017,Agosto,1.0,0.0
233,España,No hubo tentativa,Sí,61-70 años,61-70 años,Comunidad de Madrid,Pareja,2008,Noviembre,1.0,0.0
234,España,No hubo tentativa,Sí,61-70 años,61-70 años,Comunidad de Madrid,Pareja,2022,Diciembre,1.0,0.0
